code	longitude	latitude	country	ourairports_id	ourairports_ident	ourairports_iata	ourairports_type	openflights_airport_id	openflights_route_id
BWA	83.4163	27.5057	NPL	26593	VNBW	BWA	large_airport	3122	3122
DHI	80.5819	28.7533	NPL	30913	VNDH	DHI	small_airport	4188	4188
JKR	85.9224	26.7088	NPL	26595	VNJP	JKR	medium_airport	3124	\N
KEP	81.6670	28.1036	NPL	26597	VNNG	KEP	medium_airport	6182	6182
PKR	83.9821	28.2009	NPL	26598	VNPK	PKR	medium_airport	3127	3127
TMI	87.1933	27.3150	NPL	32463	VNTR	TMI	small_airport	4183	4183
BHE	173.8700	-41.5183	NZL	5058	NZWB	BHE	medium_airport	2037	2037
DUD	170.1980	-45.9281	NZL	5028	NZDN	DUD	medium_airport	2011	2011
HLZ	175.3320	-37.8667	NZL	5033	NZHN	HLZ	medium_airport	2015	2015
NPE	176.8700	-39.4658	NZL	5043	NZNR	NPE	medium_airport	4095	4095
NPL	174.1790	-39.0086	NZL	5042	NZNP	NPL	medium_airport	2023	2023
NSN	173.2210	-41.2983	NZL	5044	NZNS	NSN	medium_airport	2024	2024
PMR	175.6170	-40.3206	NZL	5049	NZPM	PMR	medium_airport	2028	2028
ROT	176.3170	-38.1092	NZL	5052	NZRO	ROT	medium_airport	2031	2031
TRG	176.1960	-37.6719	NZL	5055	NZTG	TRG	medium_airport	2034	2034
TUO	176.0840	-38.7397	NZL	5024	NZAP	TUO	medium_airport	2007	2007
WLG	174.8050	-41.3272	NZL	5063	NZWN	WLG	large_airport	2042	2042
WRE	174.3650	-35.7683	NZL	5066	NZWR	WRE	medium_airport	2045	2045
ZQN	168.7390	-45.0211	NZL	5051	NZQN	ZQN	large_airport	2030	2030
BHV	71.7180	29.3481	PAK	5247	OPBW	BHV	medium_airport	5939	5939
DEA	70.4859	29.9610	PAK	5249	OPDG	DEA	medium_airport	5942	5942
GWD	62.3295	25.2333	PAK	342092	OPGD	GWD	large_airport	2203	2203
MJD	68.1431	27.3352	PAK	5262	OPMJ	MJD	medium_airport	2212	2212
MUX	71.4191	30.2032	PAK	5264	OPMT	MUX	large_airport	2214	2214
PEW	71.5146	33.9939	PAK	5270	OPPS	PEW	large_airport	2219	2219
PZH	69.4636	31.3584	PAK	5285	OPZB	PZH	medium_airport	2233	2233
RYK	70.2796	28.3839	PAK	5273	OPRK	RYK	medium_airport	2222	2222
SKT	74.3639	32.5356	PAK	41624	OPST	SKT	large_airport	6776	6776
SKZ	68.7917	27.7220	PAK	5279	OPSK	SKZ	medium_airport	2227	2227
TUK	63.0302	25.9864	PAK	5283	OPTU	TUK	large_airport	5951	5951
UET	66.9378	30.2514	PAK	5272	OPQT	UET	large_airport	2221	2221
SJU	-66.0018	18.4394	PRI	6384	TJSJ	SJU	large_airport	2890	2890
FNJ	125.6700	39.2241	PRK	27203	ZKPY	FNJ	large_airport	3377	3377
ASU	-57.5200	-25.2400	PRY	6088	SGAS	ASU	large_airport	2699	2699
OTP	26.0850	44.5711	ROU	4482	LROP	OTP	large_airport	1657	1657
DME	37.9063	55.4088	RUS	26394	UUDD	DME	large_airport	4029	4029
KGL	30.1395	-1.9686	RWA	3237	HRYR	KGL	large_airport	1165	1165
EUN	-13.2192	27.1517	SAH	3112	GMML	EUN	large_airport	5672	5672
KRT	32.5532	15.5895	SDN	3249	HSSK	KRT	large_airport	1175	1175
JUB	31.6011	4.8720	SDS	3247	HJJJ	JUB	large_airport	1173	1173
DKR	-17.4902	14.7397	SEN	3125	GOOY	DKR	large_airport	1084	1084
HIR	160.0550	-9.4280	SLB	3	AGGH	HIR	large_airport	4074	4074
FNA	-13.1955	8.6164	SLE	3095	GFLL	FNA	large_airport	1059	1059
SAL	-89.0557	13.4409	SLV	4820	MSLP	SAL	large_airport	1892	1892
MGQ	45.3047	2.0144	SOM	31899	HCMM	MGQ	large_airport	5687	5687
BEG	20.3091	44.8184	SRB	4610	LYBE	BEG	large_airport	1739	1739
PBM	-55.1878	5.4528	SUR	6195	SMJP	PBM	large_airport	2773	2773
