source	destination	begins	kind	source_dataset	observed_flights	frequency	firstseen_utc	operator_icao	source_ident	destination_ident	openflights_airline	openflights_route_source_id	openflights_route_destination_id
DEL	LHR	9	international	OpenSky-2020-01	271	0.6668	2019-12-31 19:16:24+00:00	BAW	VIDP	EGLL	9W	3093	507
SFO	ICN	0	international	OpenSky-2020-01	271	0.6668	2019-12-31 18:37:47+00:00	AAR	KSFO	RKSI			
SZX	TPE	0	international	OpenSky-2020-01	270	0.6664	2020-01-01 00:52:33+00:00	CSZ	ZGSZ	RCTP			
AMS	PRG	0	international	OpenSky-2020-01	268	0.6655	2020-01-01 09:25:02+00:00	KLM	EHAM	LKPR			
DEL	KUL	0	international	OpenSky-2020-01	268	0.6655	2020-01-01 09:27:43+00:00	MAS	VIDP	WMKK	9W	3093	3304
AMS	BCN	0	international	OpenSky-2020-01	267	0.6651	2020-01-01 05:32:08+00:00	KLM	EHAM	LEBL			
AMS	JFK	0	international	OpenSky-2020-01	266	0.6646	2019-12-31 21:44:45+00:00	DAL	EHAM	KJFK			
AMS	LIS	0	international	OpenSky-2020-01	263	0.6633	2020-01-01 09:30:38+00:00	TAP	EHAM	LPPT			
CLT	YYZ	0	international	OpenSky-2020-01	262	0.6628	2020-01-01 00:20:50+00:00	JIA	KCLT	CYYZ			
FRA	HEL	0	international	OpenSky-2020-01	262	0.6628	2020-01-01 08:46:32+00:00	DLH	EDDF	EFHK	AB	340	421
MIA	SFO	0	domestic	OpenSky-2020-01	262	0.6628	2019-12-31 19:55:04+00:00	AAL	KMIA	KSFO			
ZRH	WAW	0	international	OpenSky-2020-01	262	0.6628	2020-01-01 06:12:16+00:00	SWR	LSZH	EPWA			
CHC	SYD	0	international	OpenSky-2020-01	261	0.6624	2019-12-31 22:10:45+00:00	ANZ	NZCH	YSSY	AA	2009	3361
FUK	HKG	0	international	OpenSky-2020-01	261	0.6624	2019-12-31 23:49:11+00:00	HKE	RJFF	VHHH			
WLG	AKL	0	domestic	OpenSky-2020-01	259	0.6615	2020-01-01 10:51:36+00:00	ANZ	NZWN	NZAA			
RIX	ARN	0	international	OpenSky-2020-01	259	0.6615	2020-01-01 06:04:33+00:00	BTI	EVRA	ESSA			
